20:38:01,835 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
20:38:02,149 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 2.1.0-release) : Enhancement of classes
20:38:02,482 (main) WARN  [DataNucleus.MetaData] - Error en el analizo del archivo "file:/D:/DESARROLLO/IT10%20Cooperativa/Tagle/workspace/Tagle%20Servidor/bin/servidor/persistencia/dominio/package.jdo" a la linea 5, columna 6 : cvc-elt.1: Cannot find the declaration of element 'jdo'. - Por favor compruebe el DTD y la validad de este MetaData.
20:38:02,529 (main) WARN  [DataNucleus.MetaData] - Error en el analizo del archivo "file:/D:/DESARROLLO/IT10%20Cooperativa/Tagle/workspace/Tagle%20Servidor/src/servidor/persistencia/dominio/package.jdo" a la linea 5, columna 6 : cvc-elt.1: Cannot find the declaration of element 'jdo'. - Por favor compruebe el DTD y la validad de este MetaData.
20:38:02,683 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GUIServidor$1" no tiene MetaData o annotaciones.
20:38:02,685 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GUIServidor$2" no tiene MetaData o annotaciones.
20:38:02,690 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GUIServidor" no tiene MetaData o annotaciones.
20:38:02,694 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarAdministrativo.ControlAdministrativo" no tiene MetaData o annotaciones.
20:38:02,697 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarAgente.ControlAgente" no tiene MetaData o annotaciones.
20:38:02,700 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarBdg.ControlBdg" no tiene MetaData o annotaciones.
20:38:02,703 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarDevolucion_Pieza.ControlDevolucion_Pieza" no tiene MetaData o annotaciones.
20:38:02,706 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarEncargado_Repuesto.ControlEncargado_Repuesto" no tiene MetaData o annotaciones.
20:38:02,709 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarEntidad.ControlEntidad" no tiene MetaData o annotaciones.
20:38:02,712 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarEstado_Pedido.ControlEstado_Pedido" no tiene MetaData o annotaciones.
20:38:02,715 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarMTelefono.ControlMTelefono" no tiene MetaData o annotaciones.
20:38:02,718 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarMano_Obra.ControlMano_Obra" no tiene MetaData o annotaciones.
20:38:02,720 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarMarca.ControlMarca" no tiene MetaData o annotaciones.
20:38:02,724 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarModelo.ControlModelo" no tiene MetaData o annotaciones.
20:38:02,727 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarMuleto.ControlMuleto" no tiene MetaData o annotaciones.
20:38:02,730 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarNotificacion.ControlNotificacion" no tiene MetaData o annotaciones.
20:38:02,734 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarNotificacion_Area_Administracion.ControlNotificacion_Area_Administracion" no tiene MetaData o annotaciones.
20:38:02,737 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarNotificacion_Area_Repuesto.ControlNotificacion_Area_Repuesto" no tiene MetaData o annotaciones.
20:38:02,742 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarNotificacion_Asignacion_Turnos.ControlNotificacion_Asignacion_Turnos" no tiene MetaData o annotaciones.
20:38:02,746 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarNotificacion_Contencion_Cliente.ControlNotificacion_Contencion_Cliente" no tiene MetaData o annotaciones.
20:38:02,749 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarNotificacion_Reclamo_Fabrica.ControlNotificacion_Reclamo_Fabrica" no tiene MetaData o annotaciones.
20:38:02,752 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarNotificacion_Sugerencia.ControlNotificacion_Sugerencia" no tiene MetaData o annotaciones.
20:38:02,754 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarNotificacion_Usuario.ControlNotificacion_Usuario" no tiene MetaData o annotaciones.
20:38:02,757 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarPedido.ControlPedido" no tiene MetaData o annotaciones.
20:38:02,760 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarPedido_Pieza.ControlPedido_Pieza" no tiene MetaData o annotaciones.
20:38:02,763 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarPedido_Pieza_Reclamo_Fabrica.ControlPedido_Pieza_Reclamo_Fabrica" no tiene MetaData o annotaciones.
20:38:02,766 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarPieza.ControlPieza" no tiene MetaData o annotaciones.
20:38:02,768 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarReclamante.ControlReclamante" no tiene MetaData o annotaciones.
20:38:02,771 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarReclamante_Reclamo.ControlReclamante_Reclamo" no tiene MetaData o annotaciones.
20:38:02,774 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarReclamo.ControlReclamo" no tiene MetaData o annotaciones.
20:38:02,777 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarReclamo_Fabrica.ControlReclamo_Fabrica" no tiene MetaData o annotaciones.
20:38:02,780 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarRecurso.ControlRecurso" no tiene MetaData o annotaciones.
20:38:02,783 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarRegistrante.ControlRegistrante" no tiene MetaData o annotaciones.
20:38:02,787 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarUsuario.ControlUsuario" no tiene MetaData o annotaciones.
20:38:02,790 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.GestionarVehiculo.ControlVehiculo" no tiene MetaData o annotaciones.
20:38:02,792 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.Main" no tiene MetaData o annotaciones.
20:38:02,794 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.Servidor" no tiene MetaData o annotaciones.
20:38:02,795 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.SingletonConexion" no tiene MetaData o annotaciones.
20:38:02,797 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.AdministrativoAssembler" no tiene MetaData o annotaciones.
20:38:02,799 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.AgenteAssembler" no tiene MetaData o annotaciones.
20:38:02,801 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.BdgAssembler" no tiene MetaData o annotaciones.
20:38:02,803 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Devolucion_PiezaAssembler" no tiene MetaData o annotaciones.
20:38:02,805 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Encargado_RepuestoAssembler" no tiene MetaData o annotaciones.
20:38:02,807 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.EntidadAssembler" no tiene MetaData o annotaciones.
20:38:02,809 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Estado_PedidoAssembler" no tiene MetaData o annotaciones.
20:38:02,811 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.MTelefonoAssembler" no tiene MetaData o annotaciones.
20:38:02,813 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Mano_ObraAssembler" no tiene MetaData o annotaciones.
20:38:02,814 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.MarcaAssembler" no tiene MetaData o annotaciones.
20:38:02,816 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.ModeloAssembler" no tiene MetaData o annotaciones.
20:38:02,818 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.MuletoAssembler" no tiene MetaData o annotaciones.
20:38:02,820 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.NotificacionAssembler" no tiene MetaData o annotaciones.
20:38:02,822 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Notificacion_Area_AdministracionAssembler" no tiene MetaData o annotaciones.
20:38:02,825 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Notificacion_Area_RepuestoAssembler" no tiene MetaData o annotaciones.
20:38:02,827 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Notificacion_Asignacion_TurnosAssembler" no tiene MetaData o annotaciones.
20:38:02,829 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Notificacion_Contencion_ClienteAssembler" no tiene MetaData o annotaciones.
20:38:02,831 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Notificacion_Reclamo_FabricaAssembler" no tiene MetaData o annotaciones.
20:38:02,833 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Notificacion_SugerenciaAssembler" no tiene MetaData o annotaciones.
20:38:02,834 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.assembler.Notificacion_UsuarioAssembler" no tiene MetaData o annotaciones.
